UnixTimeStamp,Outlet A22,Outlet A22
1567666226.0,17,17
1567666231.0,17,17
1567666236.0,17,17
1567666242.0,16,17
1567666247.0,17,17
1567666252.0,17,17
1567666257.0,17,17
1567666262.0,17,17
1567666267.0,17,17
1567666272.0,17,17
1567666277.0,17,17
1567666283.0,18,17
1567666288.0,17,17
1567666293.0,17,18
1567666298.0,17,17
1567666303.0,18,18
1567666308.0,18,18
1567666313.0,18,18
1567666318.0,18,18
1567666324.0,18,18
1567666329.0,18,18
1567666334.0,18,18
1567666339.0,18,18
1567666344.0,18,18
1567666350.0,18,18
1567666355.0,17,18
1567666360.0,18,18
1567666365.0,18,18
1567666371.0,15,18
1567666376.0,14,17
1567666381.0,14,17
1567666386.0,14,17
1567666391.0,14,17
1567666396.0,14,17
1567666401.0,15,17
1567666406.0,15,18
1567666411.0,15,18
1567666416.0,15,17
1567666421.0,15,17
1567666427.0,15,17
1567666432.0,15,17
1567666437.0,14,13
1567666442.0,14,12
1567666447.0,14,12
1567666452.0,14,12
1567666457.0,15,12
1567666462.0,15,12
1567666468.0,15,12
1567666473.0,15,12
1567666478.0,15,12
1567666483.0,15,11
1567666488.0,14,12
1567666493.0,14,12
1567666498.0,15,12
1567666503.0,15,12
1567666509.0,15,12
1567666514.0,15,12
1567666519.0,15,12
1567666524.0,15,11
1567666529.0,15,12
1567666534.0,14,11
1567666539.0,15,12
1567666544.0,15,11
1567666549.0,15,12
1567666555.0,15,12
1567666560.0,15,12
1567666565.0,15,12
1567666570.0,16,12
1567666575.0,16,12
1567666580.0,16,13
1567666585.0,16,13
1567666590.0,16,13
1567666595.0,17,12
1567666601.0,16,13
1567666606.0,16,13
1567666611.0,16,13
1567666616.0,17,13
1567666621.0,17,13
1567666626.0,16,13
1567666631.0,16,13
1567666636.0,17,13
1567666641.0,16,13
1567666647.0,17,13
1567666652.0,16,13
1567666657.0,16,13
1567666662.0,16,13
1567666667.0,17,13
1567666672.0,16,13
1567666677.0,16,13
1567666682.0,16,13
1567666687.0,15,12
1567666693.0,14,11
1567666698.0,15,12
1567666703.0,16,12
1567666708.0,17,12
1567666713.0,18,14
1567666718.0,18,14
1567666724.0,18,14
1567666729.0,19,14
1567666734.0,18,14
1567666739.0,18,14
1567666744.0,18,14
1567666749.0,19,16
1567666754.0,21,20
1567666759.0,24,25
1567666764.0,21,20
1567666770.0,24,26
1567666775.0,21,20
1567666780.0,22,22
1567666785.0,22,21
1567666790.0,22,21
1567666795.0,22,21
1567666800.0,22,22
1567666805.0,22,21
1567666810.0,22,21
1567666816.0,22,22
1567666821.0,22,22
1567666826.0,22,21
1567666831.0,19,20
1567666836.0,16,17
1567666841.0,18,18
1567666846.0,18,18
1567666851.0,19,19
1567666856.0,20,20
1567666861.0,20,21
1567666867.0,22,22
1567666872.0,22,22
1567666877.0,22,22
1567666882.0,22,22
1567666887.0,22,22
1567666892.0,22,22
1567666897.0,22,21
1567666902.0,22,22
1567666907.0,22,22
1567666913.0,22,22
1567666918.0,22,22
1567666923.0,22,22
1567666928.0,22,22
1567666933.0,22,22
1567666938.0,22,22
1567666943.0,22,22
1567666948.0,22,22
1567666954.0,22,22
